annotated_form_rank,model,normalised_annotated_text,distinct_annotations,affected_documents,affected_archives,affected_reviewers,example_surface_forms,example_documents,archives,reviewers,most_common_error_category,most_common_subrule,most_common_rule_assignments,all_rule_assignments,cross_context_prompt_candidate,display_label
1808,Llama 3.3 70B · 12 000 TPM,"oidores, vista",1,1,1,1,"oidores, vista",AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05,agn_hospjesus,Rodrigo,Puntuación,No sub-rule assigned,1,Puntuación — No sub-rule assigned,False,"oidores, vista"
1809,Llama 3.3 70B · 12 000 TPM,oja,1,1,1,1,oja,BnF_264_03,bnf_264,Adriana,Filológicas - instrucciones,Regularización de H etimológica,1,Filológicas - instrucciones — Regularización de H etimológica,False,oja
1810,Llama 3.3 70B · 12 000 TPM,ojos,1,1,1,1,ojos,AGN_Marina_v031A_exp02_fs85-92_11,agn_marina,Adriana,Cambios,No sub-rule assigned,1,Cambios — No sub-rule assigned,False,ojos
1811,Llama 3.3 70B · 12 000 TPM,omiso,1,1,1,1,omiso,BP_CM_R481_071_2,bp_cm,Adriana,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,omiso
1812,Llama 3.3 70B · 12 000 TPM,omitiré,1,1,1,1,omitiré,BP_CM_R481_071_2,bp_cm,Adriana,Cambios,Deleción,1,Cambios — Deleción | Cambios — Sustitución,False,omitiré
1813,GPT OSS 120B · 8 000 TPM,onze,1,1,1,1,onze,BnF_113_22,bnf_113,Paloma,Filológicas - mecánicas,Regularización de sibilantes,1,Filológicas - mecánicas — Regularización de sibilantes,False,onze
1814,Llama 3.3 70B · 12 000 TPM,opechincgos,1,1,1,1,opechincgos,BnF_394_07,bnf_394,Rodrigo,Cambios,Inserción,1,Cambios — Inserción,False,opechincgos
1815,Llama 3.3 70B · 12 000 TPM,oración.,1,1,1,1,oración.,BnF_266_10,bnf_266,Flor,Puntuación,Punto (.),1,Puntuación — Punto (.),False,oración.
1816,GPT OSS 120B · 8 000 TPM,ordena,1,1,1,1,ordena,AGN_GralParte_v006_exp617_01,agn_gralparte,Rodrigo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,ordena
1817,Llama 3.3 70B · 12 000 TPM,ordené,1,1,1,1,ordené,utblac_gg_mss_g62_duplicated_03,utblac_gg,Flor,Cambios,Sustitución,1,Cambios — Sustitución,False,ordené
1818,GPT OSS 120B · 8 000 TPM,ordin,1,1,1,1,ordin,BNE_ms3047_1,bne_ms3047,Rodrigo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,ordin
1819,Llama 3.3 70B · 12 000 TPM,ordinaria. desde,1,1,1,1,ordinaria. Desde,BnF_167_25,bnf_167,Paco,Cambios,Deleción,1,Cambios — Deleción,False,ordinaria. desde
1820,Llama 3.3 70B · 12 000 TPM,"ordinarias, y",1,1,1,1,"ordinarias, y",BnF_119-148_18,bnf_119-148,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"ordinarias, y"
1821,Llama 3.3 70B · 12 000 TPM,ordóñez y,1,1,1,1,Ordóñez y,BP_CM_R481_016,bp_cm,Arturo,Puntuación,No sub-rule assigned,1,Puntuación — No sub-rule assigned,False,ordóñez y
1822,Llama 3.3 70B · 12 000 TPM,orizava,1,1,1,1,Orizava,utblac_eog_v_41_orig_03,utblac_eog,Flor,Filológicas - instrucciones,Regularización de labiales (b/v),1,Filológicas - instrucciones — Regularización de labiales (b/v),False,orizava
1823,GPT OSS 120B · 8 000 TPM,ospital,1,1,1,1,ospital,AGN_Indios_v019_exp354_2,agn_indios,Alba,Filológicas - instrucciones,Regularización de H etimológica,1,Filológicas - instrucciones — Regularización de H etimológica,False,ospital
1824,Llama 3.3 70B · 12 000 TPM,otorgadas.,1,1,1,1,otorgadas.,AGN_Tierras_v039-2_exp003_41,agn_tierras,Flor,Puntuación,No sub-rule assigned,1,Puntuación — No sub-rule assigned,False,otorgadas.
1825,GPT OSS 120B · 8 000 TPM,otorgo,1,1,1,1,otorgo,BnF_112_02,bnf_112,Arturo,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,otorgo
1826,Llama 3.3 70B · 12 000 TPM,otorgue,1,1,1,1,otorgue,AGN_Tierras_v039-2_exp003_41,agn_tierras,Flor,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,otorgue
1827,Llama 3.3 70B · 12 000 TPM,otro,1,1,1,1,otro,BnF_111_22,bnf_111,Paloma,Cambios,Deleción,1,Cambios — Deleción,False,otro
1828,Llama 3.3 70B · 12 000 TPM,otros,1,1,1,1,otros,AGN_GralParte_v006_exp617_02,agn_gralparte,Rodrigo,Cambios,Sustitución,1,Cambios — Sustitución,False,otros
1829,GPT OSS 120B · 8 000 TPM,otros siendo,1,1,1,1,otros siendo,AGN_Indios_v009_exp003_fs4v-5_01,agn_indios,Arturo,Puntuación,No sub-rule assigned,1,Puntuación — No sub-rule assigned,False,otros siendo
1830,GPT OSS 120B · 8 000 TPM,otros. delitos,1,1,1,1,otros. delitos,BnF_116_02,bnf_116,Paco,Puntuación,No sub-rule assigned,1,Puntuación — No sub-rule assigned,False,otros. delitos
1831,Llama 3.3 70B · 12 000 TPM,otumba,1,1,1,1,Otumba,BnF_119-148_33,bnf_119-148,Paloma,Cambios,Sustitución,1,Cambios — Sustitución,False,otumba
1832,GPT OSS 120B · 8 000 TPM,oxo,1,1,1,1,oxo,AGI_CONTRATACION_1183_N8_78,agi_contratacion,Adriana,Filológicas - instrucciones,x sibilante → j,1,Filológicas - instrucciones — x sibilante → j,False,oxo
1833,GPT OSS 120B · 8 000 TPM,oyan,1,1,1,1,oyan,BnF_032_36,bnf_032,Paco,Filológicas - instrucciones,No sub-rule assigned,1,Filológicas - instrucciones — No sub-rule assigned,False,oyan
1834,GPT OSS 120B · 8 000 TPM,oydo,1,1,1,1,oydo,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned | Filológicas - instrucciones — Regularización de i/y vocálicas,False,oydo
1835,Llama 3.3 70B · 12 000 TPM,oyelo,1,1,1,1,Oyelo,BnF_110_09,bnf_110,Alba,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,oyelo
1836,GPT OSS 120B · 8 000 TPM,oyes,1,1,1,1,oyes,AGI_GUADALAJARA_230_L2_F_45V-46V_2,agi_guadalajara,Adriana,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,oyes
1837,GPT OSS 120B · 8 000 TPM,oyra,1,1,1,1,oyra,BnF_104_2,bnf_104,Paco,Filológicas - instrucciones,No sub-rule assigned,1,Filológicas - instrucciones — No sub-rule assigned,False,oyra
1838,Llama 3.3 70B · 12 000 TPM,oyã©ndoles,1,1,1,1,oyÃ©ndoles,BnF_266_05,bnf_266,Adriana,Cambios,Otros,1,Cambios — Otros | Cambios — Sustitución,False,oyã©ndoles
1839,Llama 3.3 70B · 12 000 TPM,oyã³,1,1,1,1,oyÃ³,BnF_266_05,bnf_266,Adriana,Cambios,Otros,1,Cambios — Otros | Cambios — Sustitución,False,oyã³
1840,Llama 3.3 70B · 12 000 TPM,p,1,1,1,1,P,BnF_174_02,bnf_174,Javier,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,p
1841,Llama 3.3 70B · 12 000 TPM,pactado,1,1,1,1,pactado,AGN_Tierras_v2963_exp059_24,agn_tierras,Paco,Cambios,Sustitución,1,Cambios — Sustitución,False,pactado
1842,Llama 3.3 70B · 12 000 TPM,padecían,1,1,1,1,padecían,UIA_Ms149_Exp3_43,uia_ms149,Paco,Cambios,Sustitución,1,Cambios — Sustitución,False,padecían
1843,GPT OSS 120B · 8 000 TPM,padre gaspar,1,1,1,1,padre gaspar,BnF_112_23,bnf_112,Edna,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,padre gaspar
1844,GPT OSS 120B · 8 000 TPM,paga,1,1,1,1,paga,AGN_RealesCedDup_v050_exp062,agn_realesceddup,Paloma,Cambios,Deleción,1,Cambios — Deleción,False,paga
1845,GPT OSS 120B · 8 000 TPM,pagalos,1,1,1,1,pagalos,BNE_ms3047_1,bne_ms3047,Rodrigo,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,pagalos
1846,Llama 3.3 70B · 12 000 TPM,pagar,1,1,1,1,pagar,AGN_GralParte_v006_exp617_02,agn_gralparte,Rodrigo,Cambios,Inserción,1,Cambios — Inserción,False,pagar
1847,Llama 3.3 70B · 12 000 TPM,pagará. con,1,1,1,1,pagará. Con,AGN_AHHacienda_v268_exp046_03,agn_ahhacienda,Arturo,Puntuación,Punto (.),1,Puntuación — Punto (.),False,pagará. con
1848,GPT OSS 120B · 8 000 TPM,pagos,1,1,1,1,pagos,AGN_RealesCedDup_v030_exp874,agn_realesceddup,Alba,Cambios,Deleción,1,Cambios — Deleción,False,pagos
1849,GPT OSS 120B · 8 000 TPM,pagra,1,1,1,1,pagra,AGN_RealesCedDup_v050_exp062,agn_realesceddup,Paloma,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,pagra
1850,Llama 3.3 70B · 12 000 TPM,"para jesús, el testigo",1,1,1,1,"Para Jesús, el testigo",UIA_Ms149_Exp3_31,uia_ms149,Alba,Cambios,Deleción,1,Cambios — Deleción | Cambios — Sustitución,False,"para jesús, el testigo"
1851,GPT OSS 120B · 8 000 TPM,para q,1,1,1,1,para q,AGN_IndiferenteVirreinal_caja4071_exp024_2,agn_indiferentevirreinal,Paloma,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,para q
1852,Llama 3.3 70B · 12 000 TPM,parecer y,1,1,1,1,parecer y,UIA_Ms149_Exp2_51,uia_ms149,Arturo,Puntuación,No sub-rule assigned,1,Puntuación — No sub-rule assigned,False,parecer y
1853,GPT OSS 120B · 8 000 TPM,parecio,1,1,1,1,parecio,BnF_113_04,bnf_113,Paco,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,parecio
1854,Llama 3.3 70B · 12 000 TPM,pareció,1,1,1,1,pareció,BnF_032_23,bnf_032,Arturo,Puntuación,No sub-rule assigned,1,Puntuación — No sub-rule assigned,False,pareció
1855,Llama 3.3 70B · 12 000 TPM,pareció. juan,1,1,1,1,pareció. Juan,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02,agn_hospjesus,Paco,Puntuación,Punto (.),1,Puntuación — Punto (.),False,pareció. juan
1856,GPT OSS 120B · 8 000 TPM,paresce,1,1,1,1,paresce,BnF_112_25,bnf_112,Paco,Cambios,No sub-rule assigned,1,Cambios — No sub-rule assigned,False,paresce
1857,GPT OSS 120B · 8 000 TPM,parescio,1,1,1,1,parescio,BnF_112_23,bnf_112,Edna,Filológicas - mecánicas,No sub-rule assigned,1,Filológicas - mecánicas — No sub-rule assigned,False,parescio
1858,Llama 3.3 70B · 12 000 TPM,parezca,1,1,1,1,parezca,BnF_119-148_33,bnf_119-148,Paloma,Cambios,Sustitución,1,Cambios — Sustitución,False,parezca
1859,Llama 3.3 70B · 12 000 TPM,pariendo,1,1,1,1,pariendo,utblac_wbs_1433_duplicated_1,utblac_wbs,Rodrigo,Cambios,Deleción,1,Cambios — Deleción,False,pariendo
1860,Llama 3.3 70B · 12 000 TPM,parlo,1,1,1,1,parlo,BnF_266_03,bnf_266,Rodrigo,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,parlo
1861,Llama 3.3 70B · 12 000 TPM,parte,1,1,1,1,parte,BP_CM_32386_007_2,bp_cm,Rodrigo,Cambios,Inserción,1,Cambios — Inserción,False,parte
1862,Llama 3.3 70B · 12 000 TPM,"parte, y",1,1,1,1,"parte, y",BnF_117_03,bnf_117,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"parte, y"
1863,Llama 3.3 70B · 12 000 TPM,partes de guatemala,1,1,1,1,partes de Guatemala,BnF_264_03,bnf_264,Adriana,Cambios,Deleción,1,Cambios — Deleción,False,partes de guatemala
1864,GPT OSS 120B · 8 000 TPM,partes.,1,1,1,1,partes.,BnF_112_25,bnf_112,Paco,Puntuación,Punto (.),1,Puntuación — Punto (.),False,partes.
1865,Llama 3.3 70B · 12 000 TPM,parvulos,1,1,1,1,parvulos,BnF_174_03,bnf_174,Arturo,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,parvulos
1866,Llama 3.3 70B · 12 000 TPM,pas,1,1,1,1,Pas,BnF_243_16,bnf_243,Rodrigo,Filológicas - mecánicas,Regularización de sibilantes,1,Filológicas - mecánicas — Regularización de sibilantes,False,pas
1867,Llama 3.3 70B · 12 000 TPM,pasaban,1,1,1,1,Pasaban,BnF_266_07,bnf_266,Paco,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Cambios — Sustitución,False,pasaban
1868,Llama 3.3 70B · 12 000 TPM,"pasados, y",1,1,1,1,"pasados, y",BnF_117_03,bnf_117,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"pasados, y"
1869,Llama 3.3 70B · 12 000 TPM,pasarã­a,1,1,1,1,pasarÃ­a,BnF_266_05,bnf_266,Adriana,Cambios,Otros,1,Cambios — Otros | Cambios — Sustitución,False,pasarã­a
1870,GPT OSS 120B · 8 000 TPM,pascuaro,1,1,1,1,pascuaro,BNE_ms3047_1,bne_ms3047,Rodrigo,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned | Cambios — Otros,False,pascuaro
1871,Llama 3.3 70B · 12 000 TPM,paso,1,1,1,1,paso,BnF_032_39,bnf_032,Paloma,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,paso
1872,Llama 3.3 70B · 12 000 TPM,pasq,1,1,1,1,Pasq,BP_CM_R494_156_2,bp_cm,Javier,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,pasq
1873,Llama 3.3 70B · 12 000 TPM,pasó es,1,1,1,1,pasó es,BnF_111_21,bnf_111,Flor,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,pasó es
1874,GPT OSS 120B · 8 000 TPM,patino,1,1,1,1,Patino,AMP_AC_v021__doc026_1,amp_ac,Rodrigo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,patino
1875,Llama 3.3 70B · 12 000 TPM,"patrimoniales, y",1,1,1,1,"patrimoniales, y",AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10,agn_hospjesus,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"patrimoniales, y"
1876,GPT OSS 120B · 8 000 TPM,patrimonyo,1,1,1,1,patrimonyo,BnF_112_23,bnf_112,Edna,Filológicas - instrucciones,Regularización de i/y vocálicas,1,Filológicas - instrucciones — Regularización de i/y vocálicas,False,patrimonyo
1877,Llama 3.3 70B · 12 000 TPM,pavana,1,1,1,1,pavana,BnF_118_08,bnf_118,Arturo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Cambios — Sustitución,False,pavana
1878,GPT OSS 120B · 8 000 TPM,paña,1,1,1,1,paña,AGI_PATRONATO_182_R3_04,agi_patronato,Paco,Cambios,Inserción,1,Cambios — Inserción | Filológicas - mecánicas — Regularización de sibilantes,False,paña
1879,Llama 3.3 70B · 12 000 TPM,pda,1,1,1,1,pda,AGI_CONTRATACION_1089_N8_151,agi_contratacion,Paco,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,pda
1880,Llama 3.3 70B · 12 000 TPM,"pecado, y",1,1,1,1,"pecado, y",utblac_wbs_0912a_duplicated,utblac_wbs,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"pecado, y"
1881,GPT OSS 120B · 8 000 TPM,pedido,1,1,1,1,pedido,BnF_075_014,bnf_075,Alba,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,pedido
1882,GPT OSS 120B · 8 000 TPM,pedimto.,1,1,1,1,pedimto.,BnF_112_02,bnf_112,Arturo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Puntuación — Punto (.),False,pedimto.
1883,GPT OSS 120B · 8 000 TPM,pedro,1,1,1,1,pedro,AGI_CONTRATACION_1183_N8_78,agi_contratacion,Adriana,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,pedro
1884,GPT OSS 120B · 8 000 TPM,pedro nariz,1,1,1,1,pedro nariz,AGI_CONTRATACION_1183_N8_78,agi_contratacion,Adriana,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,pedro nariz
1885,Llama 3.3 70B · 12 000 TPM,pedís,1,1,1,1,pedís,BnF_118_06,bnf_118,Edna,Cambios,Inserción,1,Cambios — Inserción,False,pedís
1886,GPT OSS 120B · 8 000 TPM,perez,1,1,1,1,Perez,AGN_Indios_v019_exp354_2,agn_indios,Alba,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,perez
1887,GPT OSS 120B · 8 000 TPM,permyta,1,1,1,1,permyta,BnF_112_04,bnf_112,Paloma,Filológicas - instrucciones,Regularización de i/y vocálicas,1,Filológicas - instrucciones — Regularización de i/y vocálicas,False,permyta
1888,Llama 3.3 70B · 12 000 TPM,"perpetuamente,",1,1,1,1,"perpetuamente,",BnF_075_026,bnf_075,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"perpetuamente,"
1889,GPT OSS 120B · 8 000 TPM,persona testigos,1,1,1,1,persona testigos,AGN_Tierras_v039-2_exp003_72,agn_tierras,Edna,Puntuación,Punto (.),1,Puntuación — Punto (.),False,persona testigos
1890,Llama 3.3 70B · 12 000 TPM,persona.,1,1,1,1,persona.,AGN_Tierras_v039-2_exp003_41,agn_tierras,Flor,Puntuación,No sub-rule assigned,1,Puntuación — No sub-rule assigned,False,persona.
1891,Llama 3.3 70B · 12 000 TPM,pertenecieran,1,1,1,1,pertenecieran,BnF_117_14,bnf_117,Alba,Cambios,Sustitución,1,Cambios — Sustitución,False,pertenecieran
1892,GPT OSS 120B · 8 000 TPM,pertenescen,1,1,1,1,pertenescen,AGN_GralParte_v006_exp617_01,agn_gralparte,Rodrigo,Filológicas - mecánicas,Regularización de sibilantes,1,Filológicas - mecánicas — Regularización de sibilantes,False,pertenescen
1893,Llama 3.3 70B · 12 000 TPM,pertenese,1,1,1,1,pertenese,UIA_Ms149_Exp3_31,uia_ms149,Alba,Filológicas - mecánicas,Regularización de sibilantes,1,Filológicas - mecánicas — Regularización de sibilantes,False,pertenese
1894,Llama 3.3 70B · 12 000 TPM,perturbe,1,1,1,1,perturbe,BnF_032_23,bnf_032,Arturo,Cambios,Sustitución,1,Cambios — Sustitución,False,perturbe
1895,Llama 3.3 70B · 12 000 TPM,perú,1,1,1,1,Perú,BnF_264_02,bnf_264,Paloma,Cambios,Sustitución,1,Cambios — Sustitución,False,perú
1896,Llama 3.3 70B · 12 000 TPM,peste,1,1,1,1,peste,AGI_INDIFERENTE_1529_N8_06,agi_indiferente,Rodrigo,Cambios,Sustitución,1,Cambios — Sustitución,False,peste
1897,GPT OSS 120B · 8 000 TPM,peticion,1,1,1,1,peticion,AGI_PATRONATO_182_R3_01,agi_patronato,Alba,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,peticion
1898,Llama 3.3 70B · 12 000 TPM,petición y,1,1,1,1,petición y,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10,agn_hospjesus,Arturo,Cambios,Sustitución,1,Cambios — Sustitución,False,petición y
1899,Llama 3.3 70B · 12 000 TPM,petición y vista,1,1,1,1,petición y vista,BnF_110_13,bnf_110,Adriana,Cambios,Sustitución,1,Cambios — Sustitución,False,petición y vista
1900,Llama 3.3 70B · 12 000 TPM,"petición,",1,1,1,1,"petición,",BnF_032_23,bnf_032,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"petición,"
1901,GPT OSS 120B · 8 000 TPM,phelipe,1,1,1,1,phelipe,BNE_ms3047_4,bne_ms3047,Javier,Filológicas - mecánicas,Simplificación de grupos consonánticos,1,Filológicas - mecánicas — Simplificación de grupos consonánticos,False,phelipe
1902,Llama 3.3 70B · 12 000 TPM,pidió,1,1,1,1,pidió,BnF_032_33,bnf_032,Adriana,Cambios,Sustitución,1,Cambios — Sustitución,False,pidió
1903,GPT OSS 120B · 8 000 TPM,pido,1,1,1,1,pido,BnF_113_04,bnf_113,Paco,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned | Cambios — Otros,False,pido
1904,Llama 3.3 70B · 12 000 TPM,pierdamos,1,1,1,1,pierdamos,BnF_266_05,bnf_266,Adriana,Cambios,Sustitución,1,Cambios — Sustitución,False,pierdamos
1905,Llama 3.3 70B · 12 000 TPM,"pimas, y",1,1,1,1,"Pimas, y",BnF_174_03,bnf_174,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"pimas, y"
1906,Llama 3.3 70B · 12 000 TPM,pimeria,1,1,1,1,pimeria,BnF_174_03,bnf_174,Arturo,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,pimeria
1907,GPT OSS 120B · 8 000 TPM,pin,1,1,1,1, pin,BnF_112_25,bnf_112,Paco,Cambios,Inserción,1,Cambios — Inserción,False,pin
1908,Llama 3.3 70B · 12 000 TPM,pinta,1,1,1,1,pinta,BnF_264_03,bnf_264,Adriana,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,pinta
1909,Llama 3.3 70B · 12 000 TPM,pintaban y ponían,1,1,1,1,pintaban y ponían,BnF_264_12,bnf_264,Edna,Cambios,Deleción,1,Cambios — Deleción,False,pintaban y ponían
1910,Llama 3.3 70B · 12 000 TPM,pinto. en el,1,1,1,1,Pinto. En el,BnF_117_13,bnf_117,Paco,Puntuación,Punto (.),1,Puntuación — Punto (.),False,pinto. en el
1911,GPT OSS 120B · 8 000 TPM,pl.,1,1,1,1,pl.,AGN_Marina_v002_exp024_005,agn_marina,Flor,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned,False,pl.
1912,Llama 3.3 70B · 12 000 TPM,plantaran,1,1,1,1,plantaran,BnF_032_33,bnf_032,Adriana,Cambios,Sustitución,1,Cambios — Sustitución,False,plantaran
1913,Llama 3.3 70B · 12 000 TPM,plata escondida,1,1,1,1,plata escondida,BnF_266_05,bnf_266,Adriana,Cambios,Otros,1,Cambios — Otros,False,plata escondida
1914,Llama 3.3 70B · 12 000 TPM,pleito que,1,1,1,1,pleito que,BnF_117_13,bnf_117,Paco,Cambios,Deleción,1,Cambios — Deleción,False,pleito que
1915,Llama 3.3 70B · 12 000 TPM,"pleitos, donde",1,1,1,1,"pleitos, donde",UIA_Ms149_Exp2_51,uia_ms149,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"pleitos, donde"
1916,GPT OSS 120B · 8 000 TPM,pliego,1,1,1,1,pliego,AGN_Indios_v019_exp354_2,agn_indios,Alba,Cambios,Sustitución,1,Cambios — Sustitución,False,pliego
1917,Llama 3.3 70B · 12 000 TPM,plã¡tica,1,1,1,1,plÃ¡tica,BnF_266_05,bnf_266,Adriana,Cambios,Otros,1,Cambios — Otros | Cambios — Sustitución,False,plã¡tica
1918,Llama 3.3 70B · 12 000 TPM,po seno. pide pón,1,1,1,1,po seno. Pide pón,BnF_110_33,bnf_110,Alba,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned,False,po seno. pide pón
1919,Llama 3.3 70B · 12 000 TPM,"po,",1,1,1,1,"po,",AGI_INDIFERENTE_1529_N36_07,agi_indiferente,Rodrigo,Abreviaturas,Expansión completa,1,"Abreviaturas — Expansión completa | Puntuación — Coma (,)",False,"po,"
1920,Llama 3.3 70B · 12 000 TPM,po.,1,1,1,1,po.,BnF_030_22,bnf_030,Paco,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,po.
1921,Llama 3.3 70B · 12 000 TPM,poco y,1,1,1,1,poco y,BnF_111_22,bnf_111,Paloma,Cambios,Sustitución,1,Cambios — Sustitución,False,poco y
1922,Llama 3.3 70B · 12 000 TPM,"poco, están",1,1,1,1,"poco, están",AGI_INDIFERENTE_1529_N8_06,agi_indiferente,Rodrigo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"poco, están"
1923,GPT OSS 120B · 8 000 TPM,pocos.,1,1,1,1,pocos.,AGN_Indios_v009_exp003_fs4v-5_01,agn_indios,Arturo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Cambios — Sustitución,False,pocos.
1924,GPT OSS 120B · 8 000 TPM,pod,1,1,1,1,pod,AGN_Indios_v019_exp354_2,agn_indios,Alba,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,pod
1925,GPT OSS 120B · 8 000 TPM,podeis,1,1,1,1,podeis,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,podeis
1926,Llama 3.3 70B · 12 000 TPM,podã­an,1,1,1,1,podÃ­an,BnF_266_05,bnf_266,Adriana,Cambios,Otros,1,Cambios — Otros | Cambios — Sustitución,False,podã­an
1927,Llama 3.3 70B · 12 000 TPM,podían. aber,1,1,1,1,podían. Aber,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02,agn_hospjesus,Paco,Puntuación,Punto (.),1,Puntuación — Punto (.),False,podían. aber
1928,Llama 3.3 70B · 12 000 TPM,pon,1,1,1,1,pon,BnF_117_03,bnf_117,Arturo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,pon
1929,Llama 3.3 70B · 12 000 TPM,pongan,1,1,1,1,pongan,LoC_HPKraus_138_new_14,loc_hpkraus,Rodrigo,Cambios,Sustitución,1,Cambios — Sustitución,False,pongan
1930,Llama 3.3 70B · 12 000 TPM,por,1,1,1,1,por,BnF_118_06,bnf_118,Edna,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned | Cambios — Sustitución,False,por
1931,Llama 3.3 70B · 12 000 TPM,por cuanto,1,1,1,1,por cuanto,AGN_Indios_v009_exp002_fs3v-4_01,agn_indios,Arturo,Cambios,Inserción,1,Cambios — Inserción,False,por cuanto
1932,GPT OSS 120B · 8 000 TPM,por de,1,1,1,1,por de,AGN_RealesCedDup_v050_exp062,agn_realesceddup,Paloma,Cambios,Sustitución,1,Cambios — Sustitución,False,por de
1933,Llama 3.3 70B · 12 000 TPM,por eso,1,1,1,1,por eso,BnF_032_23,bnf_032,Arturo,Cambios,Deleción,1,Cambios — Deleción | Cambios — Sustitución,False,por eso
1934,Llama 3.3 70B · 12 000 TPM,por expedir,1,1,1,1,por expedir,UIA_Ms149_Exp3_43,uia_ms149,Paco,Cambios,Deleción,1,Cambios — Deleción,False,por expedir
1935,GPT OSS 120B · 8 000 TPM,por juicio /,1,1,1,1,por juicio /,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Cambios,Inserción,1,Cambios — Inserción,False,por juicio /
1936,Llama 3.3 70B · 12 000 TPM,"por miguel, indio de la vista",1,1,1,1,"por Miguel, indio de la vista",BnF_032_39,bnf_032,Paloma,Cambios,Inserción,1,Cambios — Inserción | Filológicas - instrucciones — Regularización de labiales (b/v),False,"por miguel, indio de la vista"
1937,GPT OSS 120B · 8 000 TPM,por todos,1,1,1,1,por todos,BnF_030_21,bnf_030,Edna,Cambios,Inserción,1,Cambios — Inserción,False,por todos
1938,Llama 3.3 70B · 12 000 TPM,por él,1,1,1,1,por él,BnF_111_22,bnf_111,Paloma,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Cambios — Deleción,False,por él
